DDB_G0273739	DDB_G0273193
DDB_G0273737	DDB_G0273059
DDB_G0273735	DDB_G0273195
DDB_G0273733	DDB_G0273357
DDB_G0273731	DDB_G0273197
DDB_G0273729	DDB_G0273199
DDB_G0273727	DDB_G0273201
DDB_G0273725	DDB_G0273203
DDB_G0273723	DDB_G0273205
DDB_G0273721	DDB_G0273207
DDB_G0273719	DDB_G0273209
DDB_G0273717	DDB_G0273211
DDB_G0273715	DDB_G0273303
DDB_G0273713	DDB_G0273213
DDB_G0273711	DDB_G0273359
DDB_G0273709	DDB_G0273215
DDB_G0273707	DDB_G0273361
DDB_G0273705	DDB_G0273217
DDB_G0273703	DDB_G0273219
DDB_G0273701	DDB_G0273221
DDB_G0273699	DDB_G0273223
DDB_G0273697	DDB_G0273225
DDB_G0273695	DDB_G0273227
DDB_G0273693	DDB_G0273363
DDB_G0273691	DDB_G0273305
DDB_G0273689	DDB_G0273229
DDB_G0273687	DDB_G0273365
DDB_G0273685	DDB_G0273367
DDB_G0273683	DDB_G0273369
DDB_G0273681	DDB_G0273371
DDB_G0273679	DDB_G0273231
DDB_G0273677	DDB_G0273233
DDB_G0273675	DDB_G0273235
DDB_G0273673	DDB_G0273237
DDB_G0273671	DDB_G0273307
DDB_G0273669	DDB_G0273257
DDB_G0273667	DDB_G0273373
DDB_G0273665	DDB_G0273239
DDB_G0273663	DDB_G0273375
DDB_G0273661	DDB_G0273241
DDB_G0273659	DDB_G0273243
DDB_G0273657	DDB_G0273071
DDB_G0273655	DDB_G0273377
DDB_G0273653	DDB_G0273245
DDB_G0273651	DDB_G0273247
DDB_G0273649	DDB_G0273309
DDB_G0273647	DDB_G0273379
DDB_G0273645	DDB_G0273127
DDB_G0273643	DDB_G0273381
DDB_G0273641	DDB_G0273129
DDB_G0273639	DDB_G0273131
DDB_G0273637	DDB_G0273311
DDB_G0273635	DDB_G0273259
DDB_G0273633	DDB_G0273133
DDB_G0273629	DDB_G0273385
DDB_G0273627	DDB_G0273313
DDB_G0273625	DDB_G0273135
DDB_G0273623	DDB_G0273249
DDB_G0273621	DDB_G0273315
DDB_G0273619	DDB_G0273317
DDB_G0273617	DDB_G0273137
DDB_G0273615	DDB_G0273251
DDB_G0273613	DDB_G0273387
DDB_G0273611	DDB_G0273139
DDB_G0273609	DDB_G0273141
DDB_G0273607	DDB_G0273143
DDB_G0273605	DDB_G0273389
DDB_G0273603	DDB_G0273319
DDB_G0273601	DDB_G0273261
DDB_G0273599	DDB_G0273145
DDB_G0273597	DDB_G0273147
DDB_G0273595	DDB_G0273149
DDB_G0273593	DDB_G0273391
DDB_G0273591	DDB_G0273393
DDB_G0273589	DDB_G0273253
DDB_G0273587	DDB_G0273395
DDB_G0273585	DDB_G0273255
DDB_G0273579	DDB_G0273467
DDB_G0273577	DDB_G0273449
DDB_G0273575	DDB_G0273403
DDB_G0273571	DDB_G0273469
DDB_G0273569	DDB_G0273405
DDB_G0273565	DDB_G0273453
DDB_G0273563	DDB_G0273471
DDB_G0273561	DDB_G0273409
DDB_G0273559	DDB_G0273473
DDB_G0295835	DDB_G0273475
DDB_G0273557	DDB_G0273477
DDB_G0273555	DDB_G0273411
DDB_G0273553	DDB_G0273443
DDB_G0273551	DDB_G0273413
DDB_G0273549	DDB_G0273415
